restaurant name,restaurant type,cuisines type,rate (out of 5),avg cost (two people)
New Udupi Park Deluxe,Quick Bites,"South Indian, North Indian, Chinese",3.6,400.0
New Udupi Shubh Sagar,Quick Bites,"South Indian, North Indian, Chinese",2.8,400.0
New Udupi Upahar,Quick Bites,"South Indian, North Indian, Chinese",2.8,300.0
New Udupi Upahara,Quick Bites,"Chinese, North Indian, South Indian",3.6,200.0
New York Burrito,Quick Bites,Mexican,3.1,400.0
NGV Fast Food,Quick Bites,"North Indian, Fast Food",3.5,250.0
NH-1,Delivery,North Indian,3.8,600.0
NH7 Refuel,Quick Bites,"North Indian, Chinese, Biryani",3.4,400.0
NH7 Resto Pub,"Casual Dining, Pub","Andhra, Chinese, Continental",3.3,1400.0
NH8,Casual Dining,Rajasthani,4.1,800.0
Nieghbourhood Cafe,Casual Dining,"Pizza, Italian, Chinese, North Indian",3.7,750.0
Night Bell,Delivery,"Fast Food, North Indian",3.1,450.0
Night Biryani,"Takeaway, Delivery","Biryani, North Indian",3.2,600.0
Night Booze,"Casual Dining, Bar","North Indian, Fast Food",3.2,600.0
Night Cafe,"Takeaway, Delivery","North Indian, Chinese, Fast Food",3.0,350.0
Night Diaries,Quick Bites,North Indian,3.1,300.0
Night Food Delivery,Delivery,"Burger, Rolls, Sandwich, North Indian",2.9,500.0
Night Food Joint,Delivery,"North Indian, Chinese",2.8,500.0
Night Fox,"Takeaway, Delivery","South Indian, North Indian, Chinese",3.2,500.0
Night Hunger,Delivery,North Indian,3.1,350.0
Night Panda,Delivery,"Fast Food, Chinese, North Indian, American",3.8,500.0
Night Restro,Delivery,"North Indian, Chinese",3.1,500.0
Night Spoon,Delivery,"Fast Food, Street Food, North Indian, Biryani",2.4,400.0
Nightfork,Delivery,"Chinese, Biryani, Pizza, Italian, North Indian",3.7,500.0
NightOwl,"Takeaway, Delivery",North Indian,2.7,400.0
Nihas Hyderabadi Biryani,Quick Bites,"Andhra, Chinese, North Indian, South Indian",3.2,300.0
Niice Cream,Dessert Parlor,"Ice Cream, Beverages, Desserts",3.8,400.0
Nikhil's Food Court,Quick Bites,"South Indian, North Indian, Chinese, Fast Food",2.8,300.0
Nikki's,Casual Dining,"Chinese, North Indian",3.1,600.0
Nila Cafe,Quick Bites,"Kerala, South Indian",3.6,400.0
Nile Garden Restaurant,Casual Dining,"North Indian, Fast Food, Chinese, Beverages",2.6,500.0
Nilu Ki Rasoi,Quick Bites,"North Indian, Chinese",3.7,250.0
Nimma Mane,Quick Bites,Biryani,3.2,350.0
Nine2twelve,Quick Bites,South Indian,2.8,300.0
Ningi Family Restaurant,Quick Bites,"South Indian, Biryani, Chinese",3.5,400.0
Nirala's Home Kitchen,Delivery,"Bihari, North Indian",2.8,300.0
Nirvana Bar - Manipal County,Bar,Finger Food,3.3,1000.0
Nisarga,Casual Dining,"Andhra, North Indian, Chinese",3.6,500.0
Nisarga Garden,Quick Bites,"South Indian, Chinese, Street Food, Juices",4.0,300.0
Nisarga Garden Restaurant,Quick Bites,"South Indian, Chinese, Desserts, Beverages",3.4,350.0
Nisarga Restaurant,Quick Bites,"Mangalorean, Chinese, North Indian, Seafood",3.3,350.0
NISO Chinese Restaurant,Quick Bites,"Chinese, Momos",3.9,350.0
Nite Out,Delivery,"North Indian, Chinese, Biryani",3.5,500.0
Nitehunger,"Takeaway, Delivery","North Indian, Chinese",2.6,500.0
Nithyothsav - Hotel Ramanashree,Casual Dining,"North Indian, Chinese",3.0,1000.0
Nizaam's Kaati Rolls & Kebabs,Quick Bites,"Street Food, North Indian, Rolls",3.7,450.0
Nizam's Biryani House,Casual Dining,"Hyderabadi, Biryani",2.8,700.0
NMR Multicuisine Restaurant,Casual Dining,"North Indian, Chinese, Arabian, Juices",3.6,550.0
No 10 Fort Cochin,Casual Dining,"South Indian, Seafood, Kerala, Biryani",2.8,800.0
No More Hungry,Quick Bites,North Indian,3.3,450.0
NOC Cafe & Catering,Quick Bites,"North Indian, Fast Food",3.2,400.0
Noibidya,Quick Bites,"North Indian, Bengali",3.5,400.0
NoLimmits Lounge and Club,Club,"Chinese, Continental, North Indian, Burger, Pizza",4.0,2000.0
Nomadic Tandoor,Cafe,"Cafe, North Indian, Chinese, Continental",3.7,700.0
Nonveg Dreams,Delivery,"North Indian, South Indian",2.8,400.0
Noodle Bar,Casual Dining,"Chinese, Momos",4.0,1400.0
Noodle Panda,Casual Dining,"Chinese, Indonesian, Japanese, Malaysian, Thai, Vietnamese, Momos",4.3,800.0
Noodles,Casual Dining,"Chinese, Momos",3.8,500.0
Nook - Aloft Bengaluru Cessna Business Park,Casual Dining,"North Indian, Continental, Asian",4.2,1800.0
Noon's,Quick Bites,Biryani,4.2,300.0
Norsha Caffe,Cafe,Cafe,3.3,400.0
North Indian And Bengali Mess,Mess,"North Indian, Bengali",3.7,300.0
North Indian Bhukkads,Quick Bites,"North Indian, Biryani, Chinese, Street Food",4.0,450.0
North Indian Hotel,Quick Bites,North Indian,3.4,200.0
North Indian Meals,"Takeaway, Delivery",North Indian,3.2,300.0
North Indian Tadka,Quick Bites,"Chinese, North Indian",3.0,200.0
North Indies,Quick Bites,North Indian,3.8,450.0
North Met South,Casual Dining,"North Indian, South Indian",2.8,800.0
North Rasoe,Casual Dining,"North Indian, Chinese, Biryani, Kebab",3.1,500.0
North Se South Veg & Non-Veg Restaurants,Quick Bites,"South Indian, North Indian, Chinese",3.6,250.0
North Wale Restaurant,Casual Dining,"North Indian, Chinese",2.9,800.0
Northam's Pizza.Pita,Quick Bites,"Italian, Pizza",4.1,450.0
Northern Bites,Casual Dining,"North Indian, Chinese",3.2,400.0
Northern Gate- Gateway Hotel,Casual Dining,North Indian,3.9,1900.0
Northern Route,Quick Bites,"North Indian, Street Food",4.1,300.0
Northway Cuisine,Quick Bites,"North Indian, Chinese",2.8,350.0
Northwind,Casual Dining,"Biryani, Chinese, North Indian, Mangalorean",3.9,650.0
Nossa Goa,Casual Dining,"Goan, Seafood, Konkan, Desserts",4.1,1000.0
Nostradamus Bar & Lounge,Bar,"North Indian, South Indian, Chinese, Continental",3.6,1500.0
Not Just Parathas,Quick Bites,"North Indian, Chinese",3.8,500.0
Not Just Waffles,Dessert Parlor,"Desserts, Ice Cream",4.1,400.0
Notebook Food Court,Quick Bites,"Chinese, North Indian, Rolls",4.0,300.0
Nourich,Casual Dining,"Continental, Chinese, North Indian, Asian, Healthy Food, Fast Food",2.8,800.0
Nouvelle Garden,Casual Dining,"North Indian, Continental, Italian",3.7,900.0
Now Momos,Quick Bites,"Chinese, Fast Food, Momos",3.4,200.0
NTR Cafe,Quick Bites,"Chinese, Fast Food",2.9,100.0
nu.tree,Delivery,"North Indian, Healthy Food, Beverages",4.3,400.0
Nukkad,Casual Dining,"North Indian, Chinese",3.0,500.0
Nukkad Box,Quick Bites,"North Indian, Fast Food, Desserts, Beverages",3.7,400.0
NutBerry,"Dessert Parlor, Beverage Shop","Beverages, Desserts, Fast Food",3.7,150.0
Nutri Fit,"Takeaway, Delivery",Healthy Food,2.8,300.0
Nutri Rich,Quick Bites,Healthy Food,3.8,350.0
NutriFit,Quick Bites,Healthy Food,2.8,200.0
Nutripress,Beverage Shop,Juices,3.3,200.0
Nutrition on Wheels,"Takeaway, Delivery",Healthy Food,2.9,300.0
Nuts Over Salads Cafe,Cafe,"Cafe, Salad",4.4,800.0
Nutty Affair,Quick Bites,Desserts,3.7,350.0
Nutty Squirrel,Kiosk,"Ice Cream, Desserts",3.8,300.0
NV Naidu Hotel,Quick Bites,Biryani,3.9,250.0
NV Patisserie,"Takeaway, Delivery","Desserts, Bakery",3.6,350.0
NY Pizza & Waffles,Quick Bites,"Pizza, Desserts",3.1,400.0
NY Pizza And Waffles,Quick Bites,"Pizza, Fast Food",2.8,300.0
NY8LIFE,Delivery,"North Indian, Rolls, Biryani",3.2,300.0
NYS Kitchen,Quick Bites,"North Indian, Chinese",3.6,500.0
O.G. Variar & Sons,Bakery,"Bakery, Desserts",4.8,200.0
O2 Juice Bar,"Beverage Shop, Quick Bites","Juices, Fast Food",3.5,200.0
Oak Tavern,Casual Dining,"Continental, North Indian",3.5,1000.0
Oakleaf,Casual Dining,"Asian, Continental, North Indian, Italian",3.9,2000.0
Oasis Restaurant,Casual Dining,"North Indian, Chinese, Kebab",2.9,550.0
Ober Cafe,Quick Bites,"Fast Food, Desserts",3.5,200.0
Obsidian Sports and Music Bar -Gokulam Grand Hotel &...,Lounge,Continental,3.7,2000.0
Occasions,Bakery,"Bakery, Desserts",4.3,400.0
OCEA HOTEL,Casual Dining,"North Indian, Chinese, Seafood",3.7,800.0
Ocean,Casual Dining,"Mexican, Continental, Italian, Chinese",3.8,700.0
Ocean's Delight,Casual Dining,"Seafood, Biryani, South Indian",3.4,700.0
Odia By Nature,Quick Bites,Oriya,3.7,500.0
Odia Dine,Casual Dining,Oriya,3.8,400.0
Odians,Quick Bites,"North Indian, Chinese, Oriya",3.1,500.0
Odisha Kitchen,Quick Bites,"Oriya, North Indian, Chinese",3.1,500.0
Odisha Platter,Quick Bites,Oriya,3.8,350.0
Odissi Restaurant,Casual Dining,"Oriya, Bengali",2.8,500.0
Off D' Hook,Casual Dining,"Continental, Biryani, Pizza, North Indian, Chinese, Momos, Andhra, Kebab",3.7,800.0
Office Lunch Box,Delivery,"Andhra, North Indian",3.6,200.0
Oggarne,"Takeaway, Delivery","South Indian, North Indian, Chinese",3.2,300.0
Oh My Biryani,"Takeaway, Delivery","Biryani, North Indian",3.7,550.0
Oh My Chaat,Quick Bites,Street Food,3.1,300.0
Oh So Stoned!,Food Court,"Beverages, Desserts",4.1,250.0
Oh! Calcutta,"Casual Dining, Bar","Bengali, Seafood",4.4,1200.0
Oil Pump,Bar,"Finger Food, Continental",3.7,1000.0
OKI,Casual Dining,"Asian, European, Italian, Korean, Malaysian, Thai, Vietnamese, Chinese",4.5,1200.0
OKO - The Lalit Ashok Bangalore,Fine Dining,"Japanese, Asian",4.0,2200.0
Old Mumbai Ice Cream,Dessert Parlor,Ice Cream,3.8,150.0
Old Stories,Delivery,"Bengali, North Indian, Oriya",3.7,600.0
Oldtown Dilli,Casual Dining,"Mughlai, North Indian, Turkish, Afghan",4.1,750.0
Olive - Era,Casual Dining,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",3.3,550.0
Olive Bar And Kitchen,Casual Dining,"Mediterranean, European, Salad",4.5,1800.0
Olive Garden,Casual Dining,"Arabian, North Indian, Chinese, Beverages",3.7,700.0
Olive Tree,Casual Dining,"North Indian, South Indian, Chinese",3.8,700.0
Oliver Wraps,"Takeaway, Delivery","Rolls, Fast Food",3.1,300.0
Oliver's Pub & Diner,"Pub, Casual Dining","Finger Food, American, Continental, Burger, Pizza",3.9,1500.0
Om Made Cafe,Cafe,"Cafe, Continental, European, Juices",4.0,1300.0
Om Meals & Paratha Junction,Quick Bites,North Indian,2.8,100.0
Om Nom Thai,Food Truck,"Thai, Momos",3.9,400.0
Om Sai Baba Mess,Mess,South Indian,3.1,250.0
Om Sai Dham Bombay Hotel,Quick Bites,North Indian,3.6,200.0
Om Sai Punjabi Dhabha,Dhaba,North Indian,3.4,250.0
Om Sai Ram Food Junction,Quick Bites,North Indian,3.7,200.0
Om Sai Skanda Dosa Camp,Quick Bites,South Indian,3.9,150.0
Om Shiva Shakthi Chats Centre,Quick Bites,"Street Food, Fast Food",3.9,300.0
Om Sri Vinayaka Chats,"Takeaway, Delivery","Street Food, Fast Food",2.8,500.0
Om Sweets & Fast Food,Quick Bites,"North Indian, Chinese, Mithai",3.4,200.0
Om Sweets & Snacks,Sweet Shop,"Mithai, Oriya, Bengali",3.9,150.0
OMG Biriyani,Quick Bites,"Biryani, Andhra, Chinese",3.4,600.0
Omleterian,Delivery,"American, Continental",3.3,200.0
Om's Cafe Prana,Cafe,"Cafe, Fast Food",3.6,300.0
OMY Grill,Quick Bites,"Biryani, Rolls, Fast Food",3.8,300.0
On The Go,Quick Bites,"North Indian, Mughlai, Chinese",2.8,400.0
On the Go Cafeteria,Quick Bites,Fast Food,2.8,200.0
On The Nose,Cafe,"Cafe, Italian, Mexican, Chinese",2.7,600.0
Once In Nature,Quick Bites,Healthy Food,3.7,300.0
Once Upon A Flame,Casual Dining,"Steak, Continental, Burger, BBQ",4.5,1200.0
Once Upon a Rooftop,"Casual Dining, Bar","Pizza, Italian, Chinese, Thai",4.3,1000.0
One Atria Cafe,Casual Dining,"South Indian, Continental, North Indian",3.7,1600.0
One Chu Restaurant,Casual Dining,"Chinese, Momos",3.9,600.0
One For The Road,Bar,"Continental, North Indian, Finger Food",4.1,1200.0
ONE IN A MELON,"Beverage Shop, Quick Bites","Juices, Healthy Food",4.1,300.0
One Night In Bangkok,Casual Dining,"Asian, Thai",2.8,1400.0
One Stop MARATHA,Quick Bites,Maharashtrian,3.1,250.0
Onesta,"Casual Dining, Cafe","Pizza, Cafe, Italian",4.3,600.0
Online Cake and Flower.com,Bakery,"Bakery, Desserts",3.2,500.0
Only Parathas,Food Court,"North Indian, Street Food, Biryani",2.8,450.0
Only Sharjah,Beverage Shop,Beverages,2.8,200.0
ONS Food,Quick Bites,"North Indian, Chinese",2.8,150.0
Oogway Express,Casual Dining,"Chinese, Thai, Momos",3.3,600.0
Ooh La La,Delivery,"North Indian, Biryani",3.6,500.0
Oota Bangalore,Casual Dining,South Indian,4.6,1700.0
Ootada Mane,Casual Dining,"South Indian, North Indian, Chinese",2.9,600.0
Oottupura,Quick Bites,"Kerala, North Indian, Chinese, Rolls, Juices",2.6,350.0
Oottupura Family Restaurant,Quick Bites,"Kerala, South Indian, Biryani",3.4,400.0
Ooty Chocolates,Dessert Parlor,Desserts,3.3,300.0
Opel Lounge,Bar,"Finger Food, Chinese, North Indian",3.2,700.0
Opt For Fitness,Delivery,"Continental, Healthy Food",3.4,400.0
OPUS Club,Pub,"Continental, Italian, North Indian, Mexican",4.4,1900.0
Opus Food Stories,"Bar, Casual Dining","Goan, Asian, North Indian, European, Continental",4.5,1800.0
Orbis Restaurant,Casual Dining,"Arabian, North Indian, Chinese, Salad, Beverages",3.9,750.0
Orchard Fresh,Dessert Parlor,"Ice Cream, Desserts",3.3,400.0
Orchid Wine And Dine,Casual Dining,"North Indian, Chinese, Mughlai",2.9,700.0
Oregano Pizzeria,Cafe,"Cafe, Italian, Pizza",3.7,450.0
Oregano Soul Food,Cafe,Cafe,4.0,700.0
OrganicFeast,Quick Bites,"North Indian, Chinese, Healthy Food",2.9,400.0
Origami,Casual Dining,Japanese,3.4,700.0
Orzuv,"Casual Dining, Cafe","Kashmiri, Cafe",3.7,1100.0
Ottetumba Veg & Non Veg Restaurant,Casual Dining,"North Indian, Chinese, Biryani",3.3,550.0
Ottimo - ITC Gardenia,Fine Dining,"Italian, Salad",4.3,3000.0
Output Bengaluru,"Pub, Casual Dining","North Indian, Continental",4.5,1000.0
Ovenstory Pizza,Delivery,Pizza,3.8,750.0
OvenTreats - Patisserie.Bistro,Casual Dining,American,4.0,1000.0
Over The Top Terrace Lounge,Lounge,"Continental, North Indian",3.9,1400.0
Owl's Kitchen,Delivery,"North Indian, Chinese",3.1,500.0
Owly,Delivery,"Fast Food, North Indian",3.7,350.0
Oyalo,Quick Bites,Pizza,3.0,300.0
Oye Amritsar,Casual Dining,North Indian,3.8,1000.0
Oye Hoye,Quick Bites,North Indian,3.8,300.0
Oyster Bay,Casual Dining,North Indian,3.2,550.0
Oz Pies,Delivery,"Australian, Continental",3.8,400.0
Ozaa,Casual Dining,"Mediterranean, American, Asian",3.6,1700.0
Paakam,Quick Bites,South Indian,3.7,150.0
Paani Kum Chai,Beverage Shop,"Beverages, Fast Food",4.0,200.0
Paanwadi,Dessert Parlor,"Desserts, Paan",3.3,100.0
Paaramparya Restaurant,Casual Dining,"Chettinad, Mangalorean, South Indian, North Indian",3.6,600.0
Paavani Agencies,Dessert Parlor,Ice Cream,2.8,100.0
Pablo's Gastrobar,Bar,"Finger Food, American, Asian, Italian",4.0,1450.0
Pabrai's Fresh & Naturelle Icecreams,Dessert Parlor,"Ice Cream, Desserts",3.9,200.0
Padosi Apke Apne,Quick Bites,"South Indian, Chinese, North Indian",2.8,300.0
PagalKhana,Casual Dining,"Continental, Chinese, Fast Food, Beverages",3.8,1000.0
Page 3 Multicuisine Restaurant & Bar,Bar,"North Indian, Chinese, Finger Food",3.5,800.0
Pai Vihar,Quick Bites,"South Indian, Street Food, Chinese, Fast Food",2.8,400.0
Painted Platters,Bakery,"Bakery, Desserts",3.9,300.0
Pai's Kitchen,Quick Bites,South Indian,3.4,200.0
Paisa Vasool,Quick Bites,North Indian,3.3,400.0
Pait Full,Casual Dining,"North Indian, Chinese, Biryani",3.8,750.0
Pakiza Dilli Darbar Restaurant,Quick Bites,Biryani,3.2,300.0
Pakwan,Casual Dining,"North Indian, Chinese, Italian",4.1,800.0
Pakwan Family Restaurant,Quick Bites,"North Indian, Chinese",3.4,400.0
Palak Ande Ka Funda,Quick Bites,North Indian,3.2,300.0
Palar Restaurant,Casual Dining,"Andhra, North Indian",3.6,700.0
Palki Grand,Casual Dining,"North Indian, Chinese, Biryani, Mangalorean",2.9,500.0
Palki Restaurant,Casual Dining,"North Indian, Chinese, Biryani, Mangalorean",2.8,500.0
Palki's,Casual Dining,"North Indian, Biryani",3.0,800.0
Pallavas Veg Cuisine,Casual Dining,"North Indian, South Indian, Chinese",3.6,600.0
Pallavi Bar & Restaurant,"Casual Dining, Bar","North Indian, South Indian, Chinese",2.8,550.0
Pallavi North Indian Veg Restaurant,Casual Dining,"Biryani, North Indian, Chinese",3.7,450.0
Pallavi Restaurant,Casual Dining,"Biryani, Chinese, Andhra",3.8,500.0
Palmgrove,Casual Dining,"North Indian, South Indian, Chinese, Juices",4.0,700.0
Palos,Quick Bites,"Chinese, North Indian",3.3,300.0
Pan Asian,Quick Bites,Chinese,2.8,500.0
Panchami,Quick Bites,"North Indian, Chinese",3.0,300.0
Panchami Garden,Quick Bites,"South Indian, North Indian, Chinese",3.3,300.0
Panchamukhi Sagar,Quick Bites,"North Indian, South Indian, Chinese",3.2,300.0
Panchamuki Fastfood,Quick Bites,"South Indian, Beverages",3.5,300.0
Panchavati Gaurav Thali,Casual Dining,"Rajasthani, Gujarati",4.0,800.0
Pancuzzi,Cafe,"Cafe, Beverages, Desserts",4.2,600.0
Panda Boy,Casual Dining,Chinese,3.9,550.0
Panda Foods,Quick Bites,"North Indian, Juices",3.4,300.0
Pandit Ji Sweets & Namkeen,Sweet Shop,"Mithai, Street Food",3.6,300.0
Pani Kum Chai,Quick Bites,Fast Food,3.9,200.0
Pani Puri,Quick Bites,Street Food,3.1,100.0
Panjabi Dhaba,Quick Bites,"North Indian, Chinese",3.2,300.0
Pan's Aroma,Quick Bites,"Bengali, Biryani, North Indian, Chinese, Fast Food",2.9,400.0
Panther Cafe,Beverage Shop,Beverages,3.5,200.0
Papacream,Dessert Parlor,"Desserts, Ice Cream",3.7,350.0
Papanna's Biriyani,Quick Bites,"South Indian, Biryani",3.7,350.0
Paper Cup Cafe,Quick Bites,"Tea, Coffee, Fast Food",3.5,400.0
Pappu Chaiwalla,Quick Bites,"North Indian, Momos, Rolls, Fast Food",3.1,300.0
Pappu Da Dhaba,Quick Bites,"North Indian, Fast Food, Beverages, Momos",3.0,400.0
Paprica,"Casual Dining, Bar","North Indian, Chinese",2.6,1200.0
Paradise,Casual Dining,"Biryani, North Indian, Kebab",3.9,800.0
Paradise Premium,Casual Dining,"Biryani, Andhra, Hyderabadi, North Indian",3.1,700.0
Paradox Rest-O-Cafe,Casual Dining,"Continental, Steak",3.7,600.0
Parama Ruchi,Quick Bites,"South Indian, North Indian, Chinese, Street Food",3.5,300.0
Parampara - The Veg Kitchen,Quick Bites,"North Indian, Chinese, Street Food",3.7,350.0
Parantha Singh,Quick Bites,North Indian,3.6,300.0
Paranthas and Dosas,Quick Bites,"North Indian, South Indian",3.7,400.0
Parasme,"Quick Bites, Dessert Parlor","Continental, Italian, Chinese, North Indian, Momos",3.6,400.0
Paratha Club,Quick Bites,North Indian,3.6,200.0
Paratha Corner,Quick Bites,North Indian,3.2,150.0
Paratha Darbar,Quick Bites,North Indian,3.5,400.0
Paratha Engineer,Quick Bites,"North Indian, Chinese",2.8,200.0
Paratha House,Quick Bites,"North Indian, Chinese",3.6,350.0
Paratha Junction,Quick Bites,"North Indian, Chinese",2.4,300.0
Paratha King,Quick Bites,North Indian,3.1,300.0
Paratha Mania,"Takeaway, Delivery","North Indian, Chinese",2.8,200.0
Paratha Merchant,Quick Bites,North Indian,3.1,300.0
Paratha Plaza,Quick Bites,"North Indian, Chinese",3.0,300.0
Paratha Point,Quick Bites,"North Indian, Chinese",2.8,250.0
Paratha Singh,Quick Bites,North Indian,4.0,350.0
Paratha Singh Pakora King,Quick Bites,"Rajasthani, North Indian, Street Food",3.7,300.0
Paratha Treat,Quick Bites,North Indian,3.5,200.0
Paratha Xpress,Quick Bites,"North Indian, Chinese",3.5,200.0
Parathabox,Delivery,"Fast Food, North Indian",3.8,150.0
Parathe Ghar Ke,Quick Bites,North Indian,3.2,300.0
Parathe Wali Gali,Quick Bites,"North Indian, Chinese",3.6,250.0
Parijatha Fish Land,Casual Dining,Seafood,3.5,400.0
Parijatha Paradise,Casual Dining,"South Indian, North Indian, Fast Food, Chinese, Street Food",2.8,500.0
Parika Multicuisine & Coastal Fine Dine,Casual Dining,"Mangalorean, Seafood, North Indian, Chinese",3.9,1000.0
Parika Multicuisine Restaurant,Casual Dining,"North Indian, Chinese, Mughlai",3.8,1200.0
Parimala Sweets,Sweet Shop,"Mithai, Street Food",3.5,200.0
Parinitha Biryani Corner,Quick Bites,"Biryani, Kebab",3.3,300.0
Paris Restaurant,Casual Dining,"North Indian, Chinese, Biryani",3.7,550.0
Parisar Veg Restaurant,Casual Dining,"Chinese, North Indian, South Indian",3.6,400.0
Parivaar,Delivery,"Biryani, North Indian, Chinese",2.9,600.0
Parivar,Casual Dining,"North Indian, Chinese",3.8,500.0
Parjanya Chat Zone,Quick Bites,"Street Food, Fast Food",3.3,200.0
Park N Eat,Quick Bites,"Chinese, North Indian",3.7,300.0
Park View Restaurant,Casual Dining,"North Indian, Chinese, Continental",3.8,600.0
Parkview,Quick Bites,"South Indian, North Indian, Chinese",4.0,300.0
Parrattha Ssinghh,Quick Bites,North Indian,2.8,250.0
Parvas Biriyani Park,Quick Bites,"Andhra, Biryani, Chinese",2.8,400.0
Pashto,Casual Dining,"North Indian, Mughlai, Afghan",4.1,800.0
Pasta Factory,Casual Dining,"Continental, Italian, Burger, American",4.0,600.0
Pasta Street,Casual Dining,"Italian, Pizza, Salad",4.5,1300.0
Pasta Twist Plus,Casual Dining,"Fast Food, Continental",2.6,400.0
Patels Inn,Casual Dining,"North Indian, Chinese",3.8,750.0
Pathaan Sir,Quick Bites,"Fast Food, Rolls, Momos",3.2,250.0
Pathankot Punjabi Restaurant,Food Court,North Indian,3.2,350.0
Pathumma`s Kitchen,Quick Bites,North Indian,3.2,200.0
Pathy's Kitchen,Quick Bites,Andhra,3.5,500.0
Patiala Highway,Casual Dining,North Indian,3.7,500.0
Patiala Lassi,Beverage Shop,Beverages,3.4,150.0
Patiala Zone,Quick Bites,"North Indian, Mughlai",3.1,400.0
Patio - The Resto Cafe,"Cafe, Quick Bites","Cafe, Continental, Chinese, Momos",3.7,500.0
Patio 805,Casual Dining,"Thai, Vietnamese, Asian, Chinese",4.0,1200.0
Patisserie Nitash,Bakery,Bakery,4.2,500.0
Patra Snacks & Sweets,Sweet Shop,"Mithai, Street Food",2.8,200.0
