restaurant name,restaurant type,cuisines type,rate (out of 5),avg cost (two people),area,city
Murphies,Restaurant,"Salad, European, Steak, Healthy Food, Beverages, Finger Food, Continental",4.2,1300.0,Koregaon Park,Pune
Onesta,Restaurant,"Pizza, Italian, Fast Food, Desserts",4.7,700.0,Hadapsar,Pune
Cafe Kathaa,Restaurant,"Cafe, Continental, Beverages",4.2,700.0,FC Road,Pune
Rangla Punjab,Restaurant,"North Indian, Lucknowi, Beverages",3.8,800.0,Pashan,Pune
Abhishek Veg Restaurant,Restaurant,"South Indian, North Indian, Street Food, Fast Food, Chinese",4.0,600.0,Erandwane,Pune
Sentosa MultiCuisine Restaurant,Restaurant,"North Indian, Chinese, Mughlai, Continental",4.6,1400.0,Ravet,Pune
Dhaba Estd 1986 Delhi,Restaurant,North Indian,4.4,1800.0,Senapati Bapat Road,Pune
Mapro Garden,Restaurant,"Desserts, Fast Food, Pizza, Sandwich",4.4,800.0,Lonavala,Pune
Frozen Monkey,Restaurant,"Continental, Italian, North Indian, Finger Food, Asian",4.5,1300.0,Hinjawadi,Pune
Coriander Kitchen - Conrad Pune,Restaurant,"North Indian, Asian, Mediterranean",4.3,3200.0,Bund Garden Road,Pune
Backstage,Restaurant,"North Indian, Chinese, Continental",3.9,1250.0,Viman Nagar,Pune
Huber & Holly,Restaurant,"Ice Cream, Desserts, Fast Food, Pizza",4.7,1000.0,Koregaon Park,Pune
Vice Versa,Restaurant,"Cafe, Italian, Continental, Desserts",4.4,950.0,Shivaji Nagar,Pune
The Daily All Day,Restaurant,"European, Asian, Continental, Italian",4.4,2000.0,Koregaon Park,Pune
Mocha,Restaurant,"Cafe, Continental, European, Salad, Asian",4.4,1000.0,Koregaon Park,Pune
Starbucks Coffee,Restaurant,"Cafe, Coffee, Tea, Desserts",4.4,700.0,FC Road,Pune
Pakwan - The Food Tradition,Restaurant,"North Indian, Rajasthani, Gujarati",4.2,500.0,Pimple Saudagar,Pune
Beto's,Restaurant,"North Indian, Continental, Italian, Chinese, Seafood",4.4,2100.0,NIBM Road,Pune
Tiranga Bhuvan Kothrud,Restaurant,"Maharashtrian, North Indian, Biryani",4.0,800.0,Kothrud,Pune
Thalasso,Restaurant,"Maharashtrian, Bar Food",0.0,1000.0,Bhugaon,Pune
Pune Baking Company - JW Marriott Pune,Restaurant,"Desserts, Cafe, Bakery",4.5,700.0,Senapati Bapat Road,Pune
Pizza Hut,Restaurant,"Pizza, Italian, Fast Food",2.9,600.0,Viman Nagar,Pune
CAFE PETER,Restaurant,"Cafe, Desserts, Fast Food",4.0,900.0,Shivaji Nagar,Pune
