restaurant name,restaurant type,cuisines type,rate (out of 5),avg cost (two people),area,local address,city
Kaapi Kuteera,Quick Bites,South Indian,3.5,100.0,JP Nagar,Kanakapura Road,Bangalore
Kaapikada,Quick Bites,"Kerala, Fast Food, Beverages",2.8,250.0,Kalyan Nagar,Kammanahalli,Bangalore
KAARA BY THE LAKE,Cafe,"Cafe, Italian, Coffee",4.0,750.0,Brigade Road,Ulsoor,Bangalore
Kaaram,Casual Dining,"Andhra, Biryani",3.8,500.0,Koramangala 7th Block,Koramangala 6th Block,Bangalore
Kaati Roll Delights,"Takeaway, Delivery","Fast Food, Rolls",3.2,150.0,Koramangala 4th Block,HSR,Bangalore
Kaati Zone,Quick Bites,"Fast Food, Biryani, Rolls",2.8,350.0,Malleshwaram,Malleshwaram,Bangalore
Kaayal,Casual Dining,"Kerala, Chinese",3.0,500.0,Indiranagar,Jeevan Bhima Nagar,Bangalore
Kabab Ghar,"Takeaway, Delivery","Biryani, North Indian, Kebab",3.1,600.0,Bellandur,Bellandur,Bangalore
Kabab Korner,Casual Dining,"North Indian, Chinese, Fast Food",3.9,500.0,Brigade Road,St. Marks Road,Bangalore
Kabab Magic,Casual Dining,"North Indian, Kebab, Fast Food",3.0,500.0,Brookefield,Marathahalli,Bangalore
Kabab Mandra,Quick Bites,"North Indian, Chinese",2.7,300.0,Whitefield,Whitefield,Bangalore
Kabab Mehal,Quick Bites,"Kebab, North Indian, Fast Food, Beverages",3.7,400.0,Bannerghatta Road,JP Nagar,Bangalore
Kabab Mirchi,Quick Bites,"North Indian, Chinese, Mughlai",3.2,300.0,Marathahalli,Marathahalli,Bangalore
Kabab Nation Corner,Quick Bites,"Chinese, Arabian, Fast Food",3.5,500.0,Brigade Road,Brigade Road,Bangalore
Kabab Palace,Quick Bites,"North Indian, Chinese, Rolls",3.4,600.0,Kalyan Nagar,Nagawara,Bangalore
Kabab Souq,Quick Bites,"North Indian, Chinese",3.4,400.0,Electronic City,Electronic City,Bangalore
Kabab Treat,Casual Dining,"North Indian, Chinese",2.8,500.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Kabab World,Quick Bites,"North Indian, Chinese",3.0,500.0,Sarjapur Road,Sarjapur Road,Bangalore
Kababish Restaurant,Quick Bites,"North Indian, Chinese, Arabian, Biryani, Rolls",2.8,500.0,Electronic City,Electronic City,Bangalore
Kababji Cafe,Quick Bites,"Biryani, Rolls, Middle Eastern, Arabian, Charcoal Chicken",2.8,300.0,Electronic City,Electronic City,Bangalore
Kababs N Biryani,Quick Bites,South Indian,3.4,200.0,Banashankari,Banashankari,Bangalore
Kabsa House,Casual Dining,North Indian,3.6,500.0,Kalyan Nagar,Kalyan Nagar,Bangalore
Kachori Kafe,Quick Bites,"Street Food, Mithai, Desserts, North Indian",3.1,300.0,HSR,HSR,Bangalore
Kadai,Casual Dining,"North Indian, Chinese, Seafood, South Indian",3.6,450.0,Malleshwaram,Basaveshwara Nagar,Bangalore
Kadai Crust - Amma Veetu Samayal,"Takeaway, Delivery","Chettinad, South Indian, Biryani",3.8,700.0,Church Street,Indiranagar,Bangalore
Kadai Restaurant,Quick Bites,"North Indian, Mughlai, Chinese",2.9,350.0,Kalyan Nagar,Hennur,Bangalore
Kadal Da Meen,Casual Dining,"Biryani, Seafood",3.9,900.0,"Byresandra,Tavarekere,Madiwala",HSR,Bangalore
Kadala Tarangaa,Casual Dining,"Mangalorean, Seafood, North Indian",3.6,600.0,Banashankari,Banashankari,Bangalore
Kadala Teera,Casual Dining,"Seafood, South Indian",3.8,600.0,Bellandur,Sarjapur Road,Bangalore
Kadalu Sea Food Restaurant,Fine Dining,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",3.8,500.0,Banashankari,Vijay Nagar,Bangalore
Kadamba Classic,Quick Bites,South Indian,3.6,300.0,Banashankari,Mysore Road,Bangalore
Kadamba Foodline,Casual Dining,"Chinese, North Indian, South Indian",3.7,400.0,Indiranagar,Ulsoor,Bangalore
Kadamba Gardenia,Casual Dining,"South Indian, Chinese, North Indian, Street Food",3.6,400.0,New BEL Road,Jalahalli,Bangalore
Kadavu Shappu Currys,Quick Bites,Kerala,3.3,400.0,HSR,HSR,Bangalore
Kadhai Tadka family Restaurant,Quick Bites,"Chinese, North Indian",2.8,400.0,Electronic City,Electronic City,Bangalore
Kafe Nook,Quick Bites,Fast Food,3.6,300.0,Bannerghatta Road,BTM,Bangalore
KafeKombos,"Takeaway, Delivery","North Indian, South Indian, Oriya",3.5,300.0,HSR,HSR,Bangalore
Kaggis,Quick Bites,"Fast Food, Bakery",3.8,250.0,Banashankari,Banashankari,Bangalore
Kaifu,Casual Dining,"Chinese, Asian",4.2,700.0,Malleshwaram,New BEL Road,Bangalore
Kailash Parbat,Food Court,North Indian,2.6,400.0,Brookefield,Whitefield,Bangalore
Kairali,Quick Bites,"Kerala, South Indian, Seafood, Biryani",3.9,300.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Kairali Restaurant,Quick Bites,"Kerala, South Indian",3.4,400.0,Electronic City,Electronic City,Bangalore
Kairos,Cafe,"Cafe, Italian, European",3.8,1000.0,HSR,HSR,Bangalore
Kaizen Wellness Kitchen,Casual Dining,"Asian, Continental, European",3.7,800.0,Bannerghatta Road,JP Nagar,Bangalore
Kaka Da Dhaba,Quick Bites,North Indian,3.1,400.0,Marathahalli,Marathahalli,Bangalore
Kaka Food Corner,Quick Bites,North Indian,3.4,300.0,Brookefield,Whitefield,Bangalore
Kaka Singh,Casual Dining,North Indian,2.6,400.0,Bellandur,Bellandur,Bangalore
Kakaji,Quick Bites,North Indian,3.7,350.0,Brookefield,Marathahalli,Bangalore
Kakal Kai Ruchi,Casual Dining,"South Indian, North Indian, Chinese",3.9,450.0,Bannerghatta Road,JP Nagar,Bangalore
Kakal-Kai Ruchi,Casual Dining,"North Indian, South Indian, Chinese",3.7,500.0,Bannerghatta Road,JP Nagar,Bangalore
Kaka-T-Cafe,Quick Bites,"Arabian, Fast Food",4.0,400.0,HSR,HSR,Bangalore
Kakatiya's,Quick Bites,"South Indian, Biryani",3.1,250.0,Bellandur,HSR,Bangalore
Kalavara,Quick Bites,"South Indian, Kerala",3.4,150.0,Indiranagar,CV Raman Nagar,Bangalore
Kalinga Delicacies Restaurant,Casual Dining,"North Indian, Bengali, Oriya",3.1,400.0,Brookefield,Brookefield,Bangalore
Kalingas,Quick Bites,"Oriya, Fast Food",3.9,250.0,Bannerghatta Road,BTM,Bangalore
Kalkata Kati Roll,Quick Bites,"Fast Food, Rolls",3.3,150.0,New BEL Road,Sahakara Nagar,Bangalore
Kalla's Restaurant,Quick Bites,"North Indian, Juices",3.6,200.0,Brookefield,Marathahalli,Bangalore
Kallummakkaya,Quick Bites,"South Indian, North Indian",2.8,200.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Kalmane Koffees,Cafe,Cafe,3.6,350.0,Brigade Road,Brigade Road,Bangalore
Kalpana's Kitchen,"Takeaway, Delivery","Bengali, North Indian",2.8,400.0,Koramangala 4th Block,Ejipura,Bangalore
Kalpavriksha Upahara,Quick Bites,"South Indian, North Indian, Chinese",3.9,400.0,Basavanagudi,Jayanagar,Bangalore
Kalpavruksha,Quick Bites,"South Indian, North Indian",3.9,300.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Kamakshi Kitchen,Quick Bites,"Chinese, South Indian",3.7,350.0,Brookefield,Marathahalli,Bangalore
Kamat Bugle Rock,Quick Bites,"South Indian, Fast Food",3.9,300.0,Banashankari,Basavanagudi,Bangalore
Kamat Hotel,Casual Dining,"North Indian, South Indian, Chinese",3.6,450.0,Brigade Road,Shivajinagar,Bangalore
Kamat Minerva,Quick Bites,"South Indian, North Indian, Chinese",2.6,300.0,Basavanagudi,Basavanagudi,Bangalore
Kamat Restaurant,Casual Dining,"South Indian, North Indian, Chinese, Desserts, Juices",3.6,400.0,Basavanagudi,City Market,Bangalore
Kamat Swaad,Casual Dining,"South Indian, North Indian, Chinese",3.9,400.0,Bannerghatta Road,JP Nagar,Bangalore
Kamat Upahaar,Quick Bites,"South Indian, North Indian",2.8,200.0,New BEL Road,Jalahalli,Bangalore
Kamat Yatrinivas,Quick Bites,"North Indian, South Indian, Chinese",3.0,500.0,Whitefield,Whitefield,Bangalore
Kamat's Palate Korner,Casual Dining,"North Indian, Chinese",4.1,600.0,Brigade Road,Richmond Road,Bangalore
Kanchan Dhaba,Quick Bites,"North Indian, Chinese",3.2,350.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Kanhaiyas,Quick Bites,South Indian,3.6,150.0,JP Nagar,Bannerghatta Road,Bangalore
Kanha's Kafe,Quick Bites,"Awadhi, Bihari, Fast Food, Ice Cream, Mithai",3.5,200.0,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Bangalore
Kanika Biryani Paradise,Casual Dining,"North Indian, Andhra, Biryani",3.4,700.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Kanis Kitchen,Quick Bites,South Indian,3.6,250.0,Brigade Road,Shivajinagar,Bangalore
Kannoor Restaurant,Casual Dining,"Kerala, Chinese, South Indian, North Indian",3.1,500.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Kannur Food Point,Quick Bites,"Kerala, North Indian",3.7,200.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Kannur Restaurant,Quick Bites,"South Indian, North Indian, Kerala",3.7,400.0,Kalyan Nagar,Kammanahalli,Bangalore
Kanteen 038,Quick Bites,"Tea, Beverages, Fast Food",3.9,200.0,Brigade Road,Indiranagar,Bangalore
Kanteen The Eatery,Quick Bites,North Indian,3.9,400.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Kanthari,Quick Bites,"North Indian, Kerala, Chinese",3.9,400.0,Kalyan Nagar,Kalyan Nagar,Bangalore
Kanti Sweets,"Dessert Parlor, Quick Bites","Mithai, Street Food",3.6,400.0,Church Street,Cunningham Road,Bangalore
Kanti's,Quick Bites,"Mithai, Street Food",3.8,300.0,Marathahalli,Marathahalli,Bangalore
Kanua,Casual Dining,"Konkan, Mangalorean, Seafood",4.4,1400.0,Bellandur,Sarjapur Road,Bangalore
Kapoor's Biriyani,Quick Bites,"Biryani, North Indian",3.3,400.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Kapoor's Cafe,Casual Dining,North Indian,4.0,800.0,Jayanagar,Jayanagar,Bangalore
Kapoor's Punjabi Rolls,Quick Bites,"Rolls, Fast Food",2.8,300.0,Kalyan Nagar,Kalyan Nagar,Bangalore
Karachi Bakery,Bakery,"Bakery, Desserts",2.8,400.0,Church Street,Frazer Town,Bangalore
Karahi Kitchen,Delivery,"Andhra, Biryani, Chinese",3.9,300.0,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Bangalore
Karaikudi Restaurant,Quick Bites,South Indian,3.7,300.0,Electronic City,Electronic City,Bangalore
Karama Restaurant,Casual Dining,"Arabian, North Indian, Beverages",4.1,750.0,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Bangalore
Karavali Deluxe,Quick Bites,"North Indian, Chinese",3.6,450.0,Malleshwaram,Yeshwantpur,Bangalore
Karavali Family Restaurant,Casual Dining,"Seafood, Biryani, South Indian, North Indian, Chinese",3.5,500.0,Banashankari,Jayanagar,Bangalore
Karavali Fish Center,Quick Bites,"Mangalorean, Chinese",3.4,300.0,Banashankari,Banashankari,Bangalore
Karavali Fishland,Casual Dining,"South Indian, Mangalorean, Chinese",3.1,700.0,Electronic City,Electronic City,Bangalore
Karavali Grand,Casual Dining,"North Indian, Seafood",2.8,600.0,Bannerghatta Road,JP Nagar,Bangalore
Karavali Kitchen,Casual Dining,Mangalorean,3.1,400.0,Bellandur,Sarjapur Road,Bangalore
Karavali Kolimane,Quick Bites,"Mangalorean, Chinese, North Indian",3.7,350.0,Basavanagudi,Wilson Garden,Bangalore
Karavali Lunch Home,Quick Bites,Kerala,3.3,200.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Karavali Naati Mane,Quick Bites,South Indian,3.1,350.0,Bellandur,Sarjapur Road,Bangalore
Karavalli - The Gateway Hotel,Fine Dining,"Mangalorean, Konkan, Seafood, Kerala",4.5,3500.0,Brigade Road,Residency Road,Bangalore
Kareem's,Quick Bites,"North Indian, Mughlai",3.6,700.0,Brigade Road,Frazer Town,Bangalore
Kargeens,Cafe,"Cafe, Italian, Pizza, Continental",3.9,900.0,Malleshwaram,New BEL Road,Bangalore
Karibu - The Zuri,Casual Dining,"South Indian, Asian",3.9,2000.0,Whitefield,Whitefield,Bangalore
Karigiri Refreshments,Quick Bites,Fast Food,3.7,300.0,Malleshwaram,Rajajinagar,Bangalore
Karma Foods,Quick Bites,"North Indian, Chinese",3.2,250.0,Marathahalli,Brookefield,Bangalore
Karma Kaapi,Beverage Shop,"Beverages, Tea",4.4,250.0,Banashankari,Jayanagar,Bangalore
Karnataka Bhel House,Quick Bites,Street Food,3.9,100.0,Jayanagar,Jayanagar,Bangalore
Karnataka Biriyani Paradise,Quick Bites,"North Indian, Biryani",3.4,300.0,Frazer Town,Frazer Town,Bangalore
Karnataka Biryani Point,Quick Bites,Biryani,2.8,200.0,Malleshwaram,Malleshwaram,Bangalore
Karnataka Briyani point,Quick Bites,"North Indian, Chinese",3.2,300.0,Rajajinagar,Peenya,Bangalore
Kartik,"Casual Dining, Bar","Chinese, North Indian",3.4,700.0,Kalyan Nagar,Banaswadi,Bangalore
