restaurant name,restaurant type,cuisines type,rate (out of 5),avg cost (two people),area,local address,city
Juice Fresco,Beverage Shop,Beverages,3.3,150.0,Kalyan Nagar,Nagawara,Bangalore
Juice Fresco & Pizza,"Quick Bites, Beverage Shop","Beverages, Pizza",3.4,300.0,"Byresandra,Tavarekere,Madiwala",JP Nagar,Bangalore
Juice Junction,Beverage Shop,"Juices, Fast Food",2.8,150.0,"Byresandra,Tavarekere,Madiwala",JP Nagar,Bangalore
Juice Junction Food Court,"Beverage Shop, Quick Bites","Beverages, Juices, Fast Food",3.7,250.0,"Byresandra,Tavarekere,Madiwala",Koramangala 6th Block,Bangalore
Juice Land,Beverage Shop,"Juices, Beverages",3.9,300.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Juice Lounge,Beverage Shop,"Beverages, Healthy Food",3.1,250.0,Bannerghatta Road,BTM,Bangalore
Juice Point,"Beverage Shop, Quick Bites","Juices, Beverages, Fast Food",3.2,100.0,Koramangala 4th Block,Koramangala 1st Block,Bangalore
Juice Shop,Quick Bites,"Street Food, Beverages",3.3,200.0,Lavelle Road,Brigade Road,Bangalore
Juiced Burger,Delivery,Burger,3.5,750.0,HSR,South Bangalore,Bangalore
Juicemaker,Beverage Shop,"Beverages, Fast Food",3.8,400.0,Brigade Road,Cunningham Road,Bangalore
Juicy,Beverage Shop,"Beverages, Juices, Fast Food",3.8,200.0,Indiranagar,Old Airport Road,Bangalore
Juicy & Spicy,"Quick Bites, Beverage Shop","Bakery, Fast Food",3.1,150.0,Bannerghatta Road,JP Nagar,Bangalore
Juicy Hut,Quick Bites,"Juices, Fast Food",3.2,200.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Juicy Momos,Food Court,"Tibetan, Momos",3.1,250.0,Bannerghatta Road,Bannerghatta Road,Bangalore
JukeBox,"Casual Dining, Bar","Continental, Parsi, Chinese, North Indian, Italian, Steak",3.9,1000.0,"Byresandra,Tavarekere,Madiwala",Koramangala 7th Block,Bangalore
Jumping Beans,Cafe,"Cafe, North Indian, Chinese, Biryani, Beverages",4.0,850.0,Indiranagar,Old Madras Road,Bangalore
Just Bake,Bakery,Bakery,2.7,400.0,Old Airport Road,Old Airport Road,Bangalore
Just Baked,Bakery,"Bakery, Desserts",3.4,400.0,Frazer Town,Frazer Town,Bangalore
Just Bunny,Quick Bites,Fast Food,3.5,200.0,Banashankari,Jayanagar,Bangalore
